OfferID,Title,Slug,Area,Rooms,Date,Location,Price
7965072,2 Camere | Grozavesti | AC | Metrou Aproximitate,2-camere-grozavesti-ac-metrou-aproximitate-IDxq4U,52.0,TWO,2023-09-19 12:59:33,Grozavesti| Sectorul 6| Bucuresti,700
7965061,"Magheru, 2 locuri parcare, bloc 1980",magheru-2-locuri-parcare-bloc-1980-IDxq4J,83.0,FOUR,2023-09-19 12:57:04,Piata Romana| Sectorul 1| Bucuresti,1000
7965059,"Garsoniera LUX , in zona Victoriei .",garsoniera-lux-in-zona-victoriei-IDxq4H,25.0,ONE,2023-09-19 12:56:50,Gara de Nord| Sectorul 1| Bucuresti,450
7965007,"Apartament, 57 m², ",apartament-57-m-bucuresti-judet-sectorul-1-IDxq3R,57.0,THREE,2023-09-19 12:51:17,Victoriei| Sectorul 1| Bucuresti,950
7965023,Apartament 2 camere Cotroceni-Gradina Botanica | centrala proprie,apartament-2-camere-cotroceni-gradina-botanica-centrala-proprie-IDxq47,50.0,TWO,2023-09-19 12:50:54,Cotroceni| Sectorul 5| Bucuresti,650
7965014,Drumul Taberei | 3 Camere | Centrala Proprie | Loc de Parcare | Balcon,drumul-taberei-3-camere-centrala-proprie-loc-de-parcare-balcon-IDxq3Y,70.0,THREE,2023-09-19 12:48:19,Drumul Taberei| Sectorul 6| Bucuresti,420
7965004,"Inchiriere 2 camere decomandat, bloc 2020, prima inchiriere, 3 minute",inchiriere-2-camere-decomandat-bloc-2020-prima-inchiriere-3-minute-IDxq3O,57.0,TWO,2023-09-19 12:47:47,Dristor| Sectorul 3| Bucuresti,550
7964989,2 Camere | Grozavesti | AC | Mobilat/Utilat,2-camere-grozavesti-ac-mobilat-utilat-IDxq3z,60.0,TWO,2023-09-19 12:45:38,Grozavesti| Sectorul 6| Bucuresti,650
7964979,2 camere decomandat centrala termica Lidl Iuliu Maniu (zona Pacii),2-camere-decomandat-centrala-termica-lidl-iuliu-maniu-zona-pacii-IDxq3p,53.0,TWO,2023-09-19 12:44:15,Militari| Sectorul 6| Bucuresti,530
7964975,"AP. 3 CAMERE RENOVAT, MIRCEA VODA, BLOC REABILITAT,CENTRALA DE IMOBIL.",ap-3-camere-renovat-mircea-voda-bloc-reabilitat-centrala-de-imobil-IDxq3l,75.0,THREE,2023-09-19 12:43:40,Nerva Traian| Sectorul 3| Bucuresti,550
7959694,inchiriez garsoniera Vatra Luminoasa,inchiriez-garsoniera-vatra-luminoasa-IDxoGa,42.0,ONE,2023-09-19 12:43:27,Iancului| Sectorul 2| Bucuresti,349
7964968,Apartament 2 Camere Exigent Plaza Residence Lujerului Cora Afi,apartament-2-camere-exigent-plaza-residence-lujerului-cora-afi-IDxq3e,55.0,TWO,2023-09-19 12:41:26,Drumul Taberei| Sectorul 6| Bucuresti,600
7964934,Inchiriez apartament Piața 1 mai.,inchiriez-apartament-piaa-1-mai-IDxq2G,76.0,THREE,2023-09-19 12:35:52,Baneasa| Sectorul 1| Bucuresti,550
7964928,Drumul Taberei | 1 minut metrou | 2 camere | Mobilat | Utilat,drumul-taberei-1-minut-metrou-2-camere-mobilat-utilat-IDxq2A,50.0,TWO,2023-09-19 12:35:11,Drumul Taberei| Sectorul 6| Bucuresti,350
7964917,Apartament 3 camere - Timpuri Noi,apartament-3-camere-timpuri-noi-IDxq2p,70.0,THREE,2023-09-19 12:33:43,Berceni| Sectorul 4| Bucuresti,650
7964916,Drumul Taberei Ghencea Posta Constantin Titel Petrescu,drumul-taberei-ghencea-posta-constantin-titel-petrescu-IDxq2o,54.0,TWO,2023-09-19 12:33:11,Tudor Vladimirescu| Sectorul 6| Bucuresti,350
